,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
28,MCD (PyOD),0.5,0.5,0.5,0.003000020980834961,0.03798818588256836
29,Dummy,0.5,0.5,0.5,0.0009903907775878906,0.0
30,AutoEncoder (PyOD),0.5,0.5,0.5,0.004998683929443359,3.3019721508026123
31,Local Outlier Factor (PyOD),0.5,0.5,0.5,0.0010027885437011719,0.001994609832763672
32,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.14305710792541504,0.4525775909423828
33,One Class SVM (PyOD),0.5,0.5,0.5,0.002033233642578125,0.0020046234130859375
34,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0019974708557128906,0.021002531051635742
35,Dummy,0.5,0.5,0.5,0.0009980201721191406,0.0
36,AutoEncoder (PyOD),0.5,0.5,0.5,0.003032207489013672,3.460953950881958
37,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0010280609130859375,0.002003192901611328
38,Floresta de Isolamento (PyOD),1.0,1.0,1.0,0.14694714546203613,0.4132387638092041
39,One Class SVM (PyOD),0.5,0.5,0.5,0.0030040740966796875,0.0030350685119628906
40,MCD (PyOD),0.5,0.5,0.5,0.0019996166229248047,0.028638839721679688
41,Dummy,0.5,0.5,0.5,0.0,0.0009968280792236328
42,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0030028820037841797,3.866987466812134
43,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.00397038459777832,0.0010023117065429688
44,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.1399998664855957,0.5730538368225098
45,One Class SVM (PyOD),0.5,0.5,0.5,0.0020346641540527344,0.002233266830444336
46,MCD (PyOD),0.75,0.75,0.75,0.0019495487213134766,0.027052640914916992
47,Dummy,0.5,0.5,0.5,0.0009920597076416016,0.0
48,AutoEncoder (PyOD),0.08333333333333333,0.08333333333333333,0.08333333333333333,0.004034996032714844,3.4539520740509033
49,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002002716064453125,0.002000093460083008
50,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.14699959754943848,0.49458885192871094
51,One Class SVM (PyOD),0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0011115074157714844,0.0019638538360595703
52,MCD (PyOD),0.5,0.5,0.5,0.003387451171875,0.043996572494506836
53,Dummy,0.5,0.5,0.5,0.0,0.0
54,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.003998517990112305,3.634950637817383
55,Local Outlier Factor (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0019998550415039062,0.0019998550415039062
56,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.13805627822875977,0.5260055065155029
57,One Class SVM (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0010068416595458984,0.00099945068359375
58,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000997304916381836,0.0319821834564209
