,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
148,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.004952430725097656,0.05591773986816406
149,Dummy,0.5,0.5,0.5,0.0010027885437011719,0.0
150,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.009000062942504883,4.119995594024658
151,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.005997419357299805,0.004712581634521484
152,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.13803839683532715,0.6759657859802246
153,One Class SVM (PyOD),0.5,0.5,0.5,0.0019943714141845703,0.0030031204223632812
154,MCD (PyOD),0.75,0.75,0.75,0.005017757415771484,0.06604313850402832
155,Dummy,0.5,0.5,0.5,0.0029914379119873047,0.0
156,AutoEncoder (PyOD),0.5,0.5,0.5,0.0029654502868652344,4.1120312213897705
157,Local Outlier Factor (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019991397857666016,0.002001047134399414
158,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.14403915405273438,0.40801262855529785
159,One Class SVM (PyOD),0.5,0.5,0.5,0.0034894943237304688,0.005047798156738281
160,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0040531158447265625,0.06295299530029297
161,Dummy,0.5,0.5,0.5,0.0010004043579101562,0.0
162,AutoEncoder (PyOD),0.5,0.5,0.5,0.009003162384033203,4.134000301361084
163,Local Outlier Factor (PyOD),0.75,0.75,0.75,0.001996755599975586,0.0010313987731933594
164,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.15299105644226074,0.683962345123291
165,One Class SVM (PyOD),0.5,0.5,0.5,0.003000974655151367,0.0030014514923095703
166,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.004656314849853516,0.05898761749267578
167,Dummy,0.5,0.5,0.5,0.0010390281677246094,0.0
168,AutoEncoder (PyOD),0.5,0.5,0.5,0.005609273910522461,3.708069324493408
169,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.003964424133300781,0.001001596450805664
