CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,8.142199832609927e-05,8.781348352637369e-05
"One-Class SVM: {'gamma': 0.001, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,9.635463133836626e-05,0.00011060788929159965
"One-Class SVM: {'gamma': 0.001, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,7.184448280445409e-05,9.641541377467834e-05
"One-Class SVM: {'gamma': 0.001, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,6.638294376559485e-05,7.168303249059558e-05
"One-Class SVM: {'gamma': 0.001, 'kernel': 'rbf', 'nu': 0.001}",0.0,0.0,0.0,7.604098338218437e-05,9.578782921220566e-05
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 'auto', 'n_estimators': 150, 'random_state': 1}",0.0,0.0,0.0,0.0031481641391567865,0.009650579562651782
"One-Class SVM: {'gamma': 0.001, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,6.023862450992098e-05,8.286225545909867e-05
"One-Class SVM: {'gamma': 0.01, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,5.976915557296154e-05,7.876859991455116e-05
"One-Class SVM: {'gamma': 0.01, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,7.022087340952319e-05,6.711196877245969e-05
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,7.977735631248435e-05,9.015011953714347e-05
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,6.986708724978979e-05,8.335524343539905e-05
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,9.036785427792048e-05,0.00011952799464360771
"One-Class SVM: {'gamma': 0.1, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,7.895040480292478e-05,9.578986455393003e-05
"One-Class SVM: {'gamma': 0.1, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,5.926106854363871e-05,9.441133105566567e-05
"One-Class SVM: {'gamma': 0.1, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,5.905287763288148e-05,7.742973293730465e-05
"One-Class SVM: {'gamma': 0.001, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,9.224507679933125e-05,0.0001044414636215251
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 'auto', 'n_estimators': 100, 'random_state': 1}",0.0,0.0,0.0,0.0020664147474320554,0.006347346819811287
"One-Class SVM: {'gamma': 5.0, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,8.650418587968396e-05,0.00012031324666439842
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.75, 'n_estimators': 200, 'random_state': 1}",0.0040375131925959006,0.0040375131925959006,0.0040375131925959006,0.003089464365346292,0.011261586984184155
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.75, 'n_estimators': 150, 'random_state': 1}",0.0040375131925959006,0.0040375131925959006,0.0040375131925959006,0.0028966826617563947,0.008110708008490909
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 150, 'random_state': 1}",0.004037513192595907,0.004037513192595907,0.004037513192595907,0.002601051782269164,0.008445152193553554
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 1}",0.004037513192595907,0.004037513192595907,0.004037513192595907,0.0010037431276557676,0.003038324782551057
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.75, 'n_estimators': 100, 'random_state': 1}",0.004037513192595907,0.004037513192595907,0.004037513192595907,0.0018562439272526124,0.006252586163815489
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 1}",0.004037513192595907,0.004037513192595907,0.004037513192595907,0.000922088208827095,0.0034160028783840565
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 100, 'random_state': 1}",0.004037513192595907,0.004037513192595907,0.004037513192595907,0.00164112652817061,0.005951907175733617
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.75, 'n_estimators': 100, 'random_state': 1}",0.020187565962979534,0.020187565962979534,0.020187565962979534,0.0017109876501082127,0.005827443360101683
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'minkowski', 'n_neighbors': 20, 'novelty': True}",0.03475297818566971,0.03475297818566971,0.03475297818566971,7.711032040371614e-05,8.854783590895629e-05
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'minkowski', 'n_neighbors': 15, 'novelty': True}",0.03475297818566971,0.03475297818566971,0.03475297818566971,9.668928049009444e-05,9.12035543394234e-05
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'minkowski', 'n_neighbors': 10, 'novelty': True}",0.03475297818566971,0.03475297818566971,0.03475297818566971,8.960741803417555e-05,9.536019398269076e-05
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'euclidean', 'n_neighbors': 20, 'novelty': True}",0.03475297818566971,0.03475297818566971,0.03475297818566971,7.523334714497569e-05,9.773574461454182e-05
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'euclidean', 'n_neighbors': 10, 'novelty': True}",0.03475297818566971,0.03475297818566971,0.03475297818566971,0.00011401741555046326,0.0001142262670862128
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'euclidean', 'n_neighbors': 15, 'novelty': True}",0.03475297818566971,0.03475297818566971,0.03475297818566971,8.55163587916249e-05,8.202428559229425e-05
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'manhattan', 'n_neighbors': 20, 'novelty': True}",0.043448727173186784,0.043448727173186784,0.043448727173186784,0.00011474937770815735,0.00010651991937155435
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'manhattan', 'n_neighbors': 15, 'novelty': True}",0.043448727173186784,0.043448727173186784,0.043448727173186784,8.790257598533735e-05,0.0001055001936570283
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'manhattan', 'n_neighbors': 10, 'novelty': True}",0.043448727173186784,0.043448727173186784,0.043448727173186784,8.617020526342808e-05,0.00010730607772213498
"Envelope Elíptico: {'assume_centered': False, 'contamination': 0.5, 'random_state': 1, 'support_fraction': 0.975}",0.04478418317884916,0.04478418317884916,0.04478418317884916,0.0010503874904107323,0.1999891285476819
"Envelope Elíptico: {'assume_centered': False, 'contamination': 0.5, 'random_state': 1, 'support_fraction': 0.99}",0.04478418317884916,0.04478418317884916,0.04478418317884916,0.0009783566030955669,0.1934764314994911
"Envelope Elíptico: {'assume_centered': False, 'contamination': 0.5, 'random_state': 1, 'support_fraction': 0.95}",0.04478418317884916,0.04478418317884916,0.04478418317884916,0.0010300401382631948,0.18573840089594024
"Envelope Elíptico: {'assume_centered': True, 'contamination': 0.5, 'random_state': 1, 'support_fraction': 0.99}",0.05058648335291422,0.05058648335291422,0.05058648335291422,0.0008616530076709408,0.1724787174112613
"Envelope Elíptico: {'assume_centered': True, 'contamination': 0.5, 'random_state': 1, 'support_fraction': 0.95}",0.05058648335291422,0.05058648335291422,0.05058648335291422,0.0008110091803058819,0.18074844723941338
"Envelope Elíptico: {'assume_centered': True, 'contamination': 0.5, 'random_state': 1, 'support_fraction': 0.975}",0.05058648335291422,0.05058648335291422,0.05058648335291422,0.001128191849251177,0.18756270870469996
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.01}",0.05155421418482488,0.05155421418482488,0.05155421418482488,6.082402822215218e-05,8.905797152726978e-05
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.5}",0.05377235763599382,0.05377235763599382,0.05377235763599382,7.310435735057218e-05,8.014652233443391e-05
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.01}",0.054293757884331155,0.054293757884331155,0.054293757884331155,7.692060471133778e-05,0.00011794092019897638
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.001}",0.05656486732533586,0.05656486732533586,0.05656486732533586,7.873628166439884e-05,8.602051178493245e-05
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.001}",0.05667698137031666,0.05667698137031666,0.05667698137031666,7.2233293757019e-05,8.959496621662595e-05
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 1}",0.059383344475987206,0.059383344475987206,0.059383344475987206,0.0012264304773764538,0.0030682956760176125
"One-Class SVM: {'gamma': 'auto', 'kernel': 'rbf', 'nu': 0.001}",0.06126636234151131,0.06126636234151131,0.06126636234151131,7.173392651633175e-05,7.115087386658746e-05
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.1}",0.06445666049339023,0.06445666049339023,0.06445666049339023,6.903920461711595e-05,9.036326166248525e-05
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.1}",0.06833388903257115,0.06833388903257115,0.06833388903257115,7.436413704424392e-05,8.10511309267908e-05
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.001}",0.06842027617979148,0.06842027617979148,0.06842027617979148,8.659754375522574e-05,7.064569629281462e-05
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.06878927804091127,0.06878927804091127,0.06878927804091127,0.003001866266846473,0.01116079674896546
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.01}",0.06928375960182954,0.06928375960182954,0.06928375960182954,8.74563067216467e-05,8.000285027465958e-05
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.01}",0.07068707791698986,0.07068707791698986,0.07068707791698986,6.415805075710051e-05,6.464303267801027e-05
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 'auto', 'n_estimators': 100, 'random_state': 1}",0.0715703771165409,0.0715703771165409,0.0715703771165409,0.0017462996485172282,0.005284519255231633
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100, 'random_state': 1}",0.0715703771165409,0.0715703771165409,0.0715703771165409,0.0014945077909630292,0.005287563333688662
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.5}",0.07197972658752315,0.07197972658752315,0.07197972658752315,7.600614248181101e-05,6.634023579846211e-05
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.0722007984143031,0.0722007984143031,0.0722007984143031,0.0032428167332355894,0.010789176168447701
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.1}",0.07229025821219034,0.07229025821219034,0.07229025821219034,6.020034725547352e-05,7.691611513213165e-05
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.1}",0.07229025821219037,0.07229025821219037,0.07229025821219037,8.151729476169355e-05,9.165634432479042e-05
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.5}",0.07355160915676315,0.07355160915676315,0.07355160915676315,8.564808739833933e-05,0.00010071631778694043
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.5}",0.07392924217457636,0.07392924217457636,0.07392924217457636,7.718733830807435e-05,8.408907627200965e-05
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 'auto', 'n_estimators': 50, 'random_state': 1}",0.07634763056086365,0.07634763056086365,0.07634763056086365,0.0008581728061594171,0.014105641770148314
