CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 'auto', 'n_estimators': 100, 'random_state': 1}",0.0,0.0,0.0,0.0026014972574132586,0.0014044863203239522
"One-Class SVM: {'gamma': 5.0, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.0006888599474917355,0.0006613960850854705
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.5}",0.013953408090814178,0.013953408090814178,0.013953408090814178,0.0006629388209765716,0.0007012464287060099
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'euclidean', 'n_neighbors': 20, 'novelty': True}",0.019787449525761062,0.019787449525761062,0.019787449525761062,0.0007114565603723484,0.0007102502704213009
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'euclidean', 'n_neighbors': 15, 'novelty': True}",0.019787449525761062,0.019787449525761062,0.019787449525761062,0.0006707215810742805,0.0007342310236724811
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'euclidean', 'n_neighbors': 10, 'novelty': True}",0.019787449525761062,0.019787449525761062,0.019787449525761062,0.0006833264863009904,0.0006880325081696247
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'minkowski', 'n_neighbors': 10, 'novelty': True}",0.019787449525761062,0.019787449525761062,0.019787449525761062,0.0006993700760038584,0.0007027677314890919
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'minkowski', 'n_neighbors': 15, 'novelty': True}",0.019787449525761062,0.019787449525761062,0.019787449525761062,0.0006526432084989505,0.00075656556999112
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'minkowski', 'n_neighbors': 20, 'novelty': True}",0.019787449525761062,0.019787449525761062,0.019787449525761062,0.0007395228464710308,0.0007202492607657823
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'hamming', 'n_neighbors': 10, 'novelty': True}",0.020187565962979534,0.020187565962979534,0.020187565962979534,0.0007340166678045977,0.0007245202285835336
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'hamming', 'n_neighbors': 15, 'novelty': True}",0.020187565962979534,0.020187565962979534,0.020187565962979534,0.0007059361028800702,0.0007123978388351907
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'hamming', 'n_neighbors': 20, 'novelty': True}",0.020187565962979534,0.020187565962979534,0.020187565962979534,0.0006879380061231158,0.0006999215229162347
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 1}",0.020187565962979534,0.020187565962979534,0.020187565962979534,0.0017920177062351243,0.000954125930558764
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'manhattan', 'n_neighbors': 10, 'novelty': True}",0.02718835193082419,0.02718835193082419,0.02718835193082419,0.000738652818468777,0.0007016930146623523
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'manhattan', 'n_neighbors': 15, 'novelty': True}",0.02718835193082419,0.02718835193082419,0.02718835193082419,0.000702037139029528,0.0006998259967668433
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'manhattan', 'n_neighbors': 20, 'novelty': True}",0.02718835193082419,0.02718835193082419,0.02718835193082419,0.0006942156541690503,0.0007406304064179141
"One-Class SVM: {'gamma': 0.1, 'kernel': 'rbf', 'nu': 0.001}",0.029017929956892063,0.029017929956892063,0.029017929956892063,0.000774607104561777,0.0006568553006112047
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.5}",0.03118908804744788,0.03118908804744788,0.03118908804744788,0.0006989184244268858,0.0006979677438758948
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 1}",0.032079067258883105,0.032079067258883105,0.032079067258883105,0.0016637679220831809,0.0013616146273059502
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.001}",0.032329186294694,0.032329186294694,0.032329186294694,0.0006411183148424821,0.0007028665971294688
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.001}",0.03327401976832913,0.03327401976832913,0.03327401976832913,0.0007908744269443254,0.0007576780970768187
"One-Class SVM: {'gamma': 0.5, 'kernel': 'sigmoid', 'nu': 0.001}",0.033810902763201194,0.033810902763201194,0.033810902763201194,0.0007120348979905993,0.0007122424257981223
"One-Class SVM: {'gamma': 1.0, 'kernel': 'sigmoid', 'nu': 0.001}",0.03453653284589638,0.03453653284589638,0.03453653284589638,0.0006753278792738722,0.0006449173484546802
"One-Class SVM: {'gamma': 5.0, 'kernel': 'sigmoid', 'nu': 0.001}",0.03728117699196258,0.03728117699196258,0.03728117699196258,0.00072948695486432,0.0006693706409584766
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.001}",0.037439795894340856,0.037439795894340856,0.037439795894340856,0.0007215863907791086,0.0006659020601314645
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.5}",0.039093666607099065,0.039093666607099065,0.039093666607099065,0.0007414262758158676,0.0007152279504844273
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.01}",0.03910690980255056,0.03910690980255056,0.03910690980255056,0.0006976247206123159,0.0006901340087160491
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.01}",0.039870375134201164,0.039870375134201164,0.039870375134201164,0.0007443489627076763,0.0006876191808729473
"One-Class SVM: {'gamma': 10.0, 'kernel': 'sigmoid', 'nu': 0.001}",0.04051785513495478,0.04051785513495478,0.04051785513495478,0.000716195147691498,0.0006518832904890361
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.1}",0.040802273890495365,0.040802273890495365,0.040802273890495365,0.0006773383730707864,0.0006615781441824659
"One-Class SVM: {'gamma': 10.0, 'kernel': 'sigmoid', 'nu': 0.0001}",0.042475126427488644,0.042475126427488644,0.042475126427488644,0.0007087378544112617,0.0006684925157293427
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.01}",0.042974726878310984,0.042974726878310984,0.042974726878310984,0.0006934134859930211,0.0007008899851249372
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.5}",0.04361965400167673,0.04361965400167673,0.04361965400167673,0.0006774023955391141,0.0006952575910545254
"One-Class SVM: {'gamma': 5.0, 'kernel': 'sigmoid', 'nu': 0.0001}",0.04410063906511674,0.04410063906511674,0.04410063906511674,0.0007812972353172121,0.0007575296339215215
